Reference,occurrence_count
381015900560149,13
381011011770110,9
381013612720118,4
382115321315124,17
381012215229169,4
381012701220152,3
382170201460106,4
381015900170120,10
381012460105198,5
382120215810110,3
381013360070104,17
381010401615108,10
381012460075165,3
382135911255102,3
381012030465142,4
381015901160118,17
382115500485100,2
381015901380160,3
381011272570161,2
381011016670145,7
381011441995164,4
382121015245135,4
381010210275119,10
382135900305140,4
381012801110138,7
381013200005132,5
381012660091153,3
382115311149177,7
381011442085172,3
382180201705135,4
381012885010128,2
381011243110140,7
381015900550138,10
382115300360194,4
381015900080121,7
381015900090132,7
381012883740113,2
381013402500154,3
381010900007187,7
381010210265108,10
381013425008143,3
381012826205158,10
381015900020155,7
381011232545156,9
381012460100138,4
381015900130176,3
381015900850168,13
381015900880101,13
381012660160118,9
381010814020162,3
381011016685116,5
381013205120149,5
381012042620184,5
381014000015135,3
381011650242116,2
381012460070105,5
381013660170135,3
381012710005169,3
381012716140117,3
381012960040107,3
381013321585102,3
381013360083151,3
381012800070185,3
381012885015188,2
381012270140176,2
381015901260128,7
381015901360138,2
381015901420104,2
381012826207182,4
381012711006190,4
381012460110149,4
381015900430106,3
381015900990122,3
381015900570160,3
381013360040171,9
381012817180177,3
381015900840157,7
381012702010130,3
381011251682181,4
381015900310174,9
381015900930156,4
381015901090141,4
381015901450137,5
381015900510194,17
381012832000150,13
381015901250117,7
381015900420195,3
382170201445144,2
381012272240104,10
381011440785124,10
381012215085167,4
381015901030175,7
382135901000159,4
381013612600186,2
382135971150180,5
382135980535157,9
382120200421140,7
382125710375106,5
382120202371103,7
382121011820177,2
382120200321130,7
382115311137142,4
382115122810109,2
382110811920132,2
382115310673179,3
382115615015143,2
382110631585120,4
382111011000170,2
382115300070175,3
382115515040109,5
382110633651167,3
382110640000121,4
381010210270159,10
381012215220161,13
381011272550139,9
381010615897198,17
381013360050182,4
382115315681111,4
382180200731111,3
381012215223197,7
381011230555149,3
381015901280150,5
382135900068112,5
381012460085176,4
381015901110163,3
381010402150151,10
